Headline,Body ID,Stance
michael phelps sex scandal trouble olympian girlfriend bear man,2528,unrelated
wsj apple cut watch health feature due erratic sensor,29,unrelated
christian bale talk play steve job danny boyle biopic,1299,discuss
former porn star behind youtube sensation dc toy collector make num million per year unbox disney toy,1439,unrelated
another american hostage risk islamic state,1347,unrelated
story high school trader make num million rumor spun control,72,unrelated
accountant say comcast get fired contesting bogus charge,2405,discuss
video message service verifies time cnn audio recording,2044,unrelated
hundred dog lover around world offer home pet abandon railway station suitcase contain pillow toy bowl favourite food,2523,agree
michael phelps self proclaim girlfriend num reveals bear male describes amaze intimacy olympic swimmer,209,unrelated
apple launch totally redesign num inch macbook air,1545,unrelated
amazon com open first physical store manhattan dj,720,unrelated
teen make num million stock market,1024,unrelated
canadian official identifies dead ottawa gunman michael zehaf bibeau,1660,unrelated
watch isi claim capture u airdropped weapon,666,unrelated
boko haram denies agree ceasefire,2520,unrelated
meet college student claim teletubbies sun baby,2076,discuss
nasa raise doubt report nicaraguan meteorite,2118,unrelated
official shoot congressman claim isi terrorist run across u mexico border,190,unrelated
fear islamic state could launch ebola attack britain fighter contract virus,2299,unrelated
break udpated isi reportedly use chemical weapon kobane,1895,discuss
iraqi official dismisses unfounded report isi fighter ebola,559,unrelated
isi executioner jihadi john name mohammed emwazi,1256,unrelated
nun give birth baby boy suffer intense stomach pain,1385,unrelated
man slap people sneeze public hunt police,195,unrelated
texas plumber threaten jihadis use old truck,13,unrelated
sugarhill gang rapper big bank hank dy age num,105,unrelated
continue violence put boko haram ceasefire jeopardy,1661,unrelated
report christian bale play steve job,1294,unrelated
break gill rosenberg former idf soldier capture isi,387,unrelated
spider burrow australian man appendix scar video,2297,unrelated
nicaragua ask u help investigate meteorite crater,1179,unrelated
high school student score numm play stock market,1205,unrelated
take look photo say show body islamic state leader abu bakr al baghdadi right find really ethnic albanian militant kill num,81,unrelated
north korean leader kim jong un ankle surgery report say,2097,unrelated
catholic priest die num min wake claim god woman,398,unrelated
isi fighter get catch come across u mexican border,1361,unrelated
islamic state training fighter pilot capture jet monitor group say,777,unrelated
guy say spider burrow skin expert say,1638,discuss
islamic state militant claim behead miss american journalist,1569,unrelated
reset setting io num unless want lose icloud file,2330,unrelated
break news isi beheads miss american journalist james wright foley warn u cease action iraq,874,unrelated
op ed hoax priest never exist claim die saw female god,2240,disagree
ann arbor pizza delivery driver surprise num num tip,623,agree
macaulay culkin dead actor victim death hoax,2341,agree
google buy big chunk pacific shore iconic redwood city office park,1572,unrelated
play steve job christian bale quit,1019,disagree
one way clean apple watch reportedly survive trip shower,72,unrelated
dhs rebuff congressman claim isi infiltrate southern border,2458,unrelated
christian bale quits steve job movie,1658,unrelated
fear islamic state could launch ebola attack britain fighter contract virus,1355,discuss
batmobile steal batman v superman dawn justice set report claim one batmobile model miss detroit local responsible,2519,discuss
canadian israeli woman say capture isi,1299,unrelated
seth rogen play woz job biopic,1707,unrelated
low level marijuana possession could soon land ticket instead arrest new york city,1802,discuss
mohammed emwazi man identify isi killer jihadi john stop minum safari holiday africa num,1489,discuss
yum serve marijuana fry chicken,15,unrelated
nigeria boko haram reach ceasefire deal kidnap girl go free official say,1003,unrelated
brian williams slam social medium speculation weatherman mike seidel relieve air,1178,unrelated
allege audio michael brown shoot surface,844,unrelated
break news british bear u photojournalist hold hostage al qaeda kill fail rescue attempt yemen,2495,unrelated
david haines behead isi execution video contain threat uk report,424,unrelated
christian bale play steve job,2097,unrelated
hero soldier nathan cirillo kill convict criminal michael zehaf bibeau,1266,unrelated
isi beheads american photo journalist james wright foley threatens come,2450,agree
canadian israeli woman reportedly kidnap isi jerusalem post,214,unrelated
piper jaffray peg stainless steel apple watch price num edition num num,1047,unrelated
isi fighter contract ebola world health organisation investigate report militant show iraqi hospital lethal disease,456,unrelated
developer quit use app hire make,2328,discuss
accuse boston marathon bomber severely injured prison may never walk talk,2297,unrelated
kim jong un obese leader fracture ankle,2042,unrelated
detroit police issue statement batmobile safe,1459,discuss
unluckiest man world set college fire firework marriage proposal,1592,agree
report isi kidnaps canadian israeli former idf soldier go fight kurd,80,unrelated
u airstrike target al shabaab leader ahmed abdi godane somalia,1853,unrelated
homeless guy num completely stun man give,1940,unrelated
steve job biopic eye seth rogen play apple co founder steve wozniak,1588,unrelated
fidel castro dead accord viral twitter rumor,2192,unrelated
cpwd official sack absence duty num year,829,agree
yang hu worker zhejiang cut penis desperation find love,2254,unrelated
dog find abandoned suitcase fill belonging,304,unrelated
nigeria say ceasefire agree boko haram,1027,discuss
nun give birth surprise baby complain stomach pain,1412,agree
paradise open even dog pope tell boy,524,unrelated
homeland security isil fighter u border,1890,agree
hundred palestinian flee israel open dam gaza valley,1965,disagree
teacher suspend sex session teen pupil end hardcore porn website,933,unrelated
woman abort baby boy,447,discuss
u arm airdrop fell isi hand pentagon,1572,unrelated
ebola case iraq,639,discuss
predator drone reportedly spot isi stronghold,1802,unrelated
vandal add rude paint job num numm bugatti luckily owner turn hoax,2235,unrelated
north korea order citizen name kim jong un change name say new report,979,unrelated
spider burrow appendix scar crawl wa man body,2009,unrelated
found father era time capsule find boston,1179,unrelated
india rape crisis see mob castrate allege sex attacker shock scene,1042,unrelated
dhs gop rep claim isi member catch u border categorically false,2329,unrelated
homeless man receive meal hotel stay spending num donation food friend insist hoax despite new witness insist way could secretly film,1925,discuss
seth rogen report play woz upcoming steve job movie,1707,unrelated
weather channel mike seidel caught pant,1855,discuss
macaulay culkin dead another death hoax circulates facebook,1752,agree
body mexico mass grave apparently miss student,983,discuss
flood libel propagandist num,1965,agree
saudi cleric condemns snowman anti islamic,35,unrelated
bih seven primary school student pregnant five day excursion,208,unrelated
isi fighter seize weapon airdrop meant kurd,1076,discuss
strange mark turn tropical spider burrow vacationer skin,1422,unrelated
anna wintour refuse work new world trade center vogue office due rat infestation,1693,discuss
story high school trader make num million rumor spun control,1858,discuss
wife isi leader abu bakr al baghdadi detain lebanon,1263,disagree
big bank hank co founder sugarhill gang die,1806,unrelated
hospital man treat ebola kansa city,1875,unrelated
meteorite leave crater nicaraguan capital managua,2129,unrelated
michael brown shoot audio caught tape,2149,discuss
james foley remember brave tireless journalist,1966,agree
research medical center denies report patient ebola,2443,unrelated
hundred mourn death fidel castro rumour sweep twitter confuse recently depart fidel castro odinga nairobi,2175,unrelated
british rapper suspect isi beheading,2042,unrelated
islamic state militant catch u border patrol,1296,unrelated
cub baghdadi isi report youngest jihadist get martyred battle,1785,discuss
gop rep least ten isi fighter catch come across mexican border,1565,unrelated
mum face real life sophie choice try sell son fund daughter care,694,unrelated
rare case seven bosnian girl age num num fall pregnant five day school trip parent outrage school cite parental neglect,1574,unrelated
mystery man slap shopper around head sneezing,2314,unrelated
nasa question whether crater nicaragua cause meteorite,2129,unrelated
former british rapper reportedly investigation james foley behead,195,unrelated
isi appear behead american photojournalist youtube video,1351,unrelated
six month abduct nigerian schoolgirl boko haram reportedly want free,1885,discuss
attorney new audio reveals pause gunfire michael brown shot,2296,unrelated
tropical spider burrow man skin live three day,1148,unrelated
mass graf find mexico near place num student go miss,1678,unrelated
see homeless man spend hundred dollar keep tissue handy video,1943,unrelated
islamist terrorist jabhat ansar al deen tweet picture texas plumber truck fit anti aircraft gun syria,1009,unrelated
report radically redesign num inch macbook air come,1948,unrelated
jihadi john unmasked islamic state killer name west londoner mohammed emwazi,1815,unrelated
espn save nfl image male domestic abuse discussion,283,disagree
insider claim steel apple watch start num gold num num,2097,unrelated
knightscope security robot keep microsoft campus safe look really scary,2529,agree
seth rogen play apple steve wozniak,712,discuss
luke somers british bear photojournalist kill al qaeda fail rescue attempt yemen,271,unrelated
paradise open even dog pope tell boy,714,unrelated
ebola infect isi militant mosul,2197,unrelated
new io num bug delete icloud document,1009,unrelated
nyc high school student nickname teen wolf make num million stock market,1125,unrelated
durex planning release pumpkin spice condom,2123,unrelated
isilkulskom student gain superhero power shock,239,unrelated
south korea kim jong un ankle surgery remove cyst,2141,unrelated
christian bale talk play steve job sony danny boyle,1658,unrelated
boko haram deny nigeria cease fire claim,1125,unrelated
two bloke dare eat num year old burger charity,1500,unrelated
saudi tv blur michelle obama face president meet king salman,1242,unrelated
british aid worker david haines behead isil,1360,unrelated
amazon plan ad support video stream service ny post,1137,unrelated
isi fighter contract ebola world health organisation investigate report militant show iraqi hospital lethal disease,2234,unrelated
woman ting su find husband cheat twin get spectacular revenge,1197,unrelated
report u drone syria look isi leader abu bakr al baghdadi,909,unrelated
tom brokaw want brian williams fire iraq helicopter story report,2370,unrelated
boko haram deny truce release kidnap schoolgirl,2463,discuss
macaulay culkin dead internet death hoax claim actor find dead apartment,2175,unrelated
cnn play allege audiotape michael brown shootingmilitarization police,472,unrelated
big bank hank co founder sugarhill gang die,2118,unrelated
caught catfish record po num kg num num meter,2161,agree
glenn beck fear may do num miss jet,299,unrelated
boko haram cease fire abduct nigerian schoolgirl release official say,1608,unrelated
small meteorite hit managua,220,unrelated
etats unis mort pendant num minute un pr tre affirme que dieu est une femme,2520,unrelated
espn domestic violence panel miss something important,615,unrelated
woman expose cheat boyfriend brilliant christmas gift,1294,unrelated
paul revere num time capsule unearth,1239,unrelated
watch moment tv weatherman catch urinating bush live camera,693,unrelated
isi ebola probably medium report anyway,1921,unrelated
lady fb num intersex fuck michael phelps first date,933,unrelated
evil straight pit hell american journalist james foley reportedly behead isi,826,unrelated
speed seinfeld younger viewer,1260,agree
audio record allegedly capture moment michael brown shot,1873,unrelated
boyfriend cut penis throw bin girlfriend dump bad bed,1252,unrelated
apple watch stainless steel variant reportedly price num num num gold variant,829,unrelated
report num isi terrorist catch southern border num hr,2266,discuss
rumor king abdullah fly airstrikes true fox excite anyway,1689,unrelated
miss libyan aircraft spark fear num num style attack north africa,299,unrelated
kim ankle surgery source,524,unrelated
james foley miss american photojournalist reportedly execute isi syria,1336,discuss
hbo apple talk num month apple tv stream service launch april,225,unrelated
spider burrow tourist stomach chest,1478,agree
fidel castro rumor sweep internet sign cuba,2307,unrelated
apple quietly fix iphone num plus bendgate problem,370,discuss
num hidden mass graf may hold miss mexican student,324,unrelated
epic way quit job,1569,unrelated
nasty io num bug could erase icloud drive document,1278,unrelated
iraqi medium isi militant contract ebola,225,unrelated
isi threat texas mexico border,882,unrelated
isi fighter get catch come across u mexican border,1347,unrelated
two gop congressman say suspected terrorist catch cross u mexico border,2492,unrelated
abdel majed abdel bary foley behead london rapper song help identify,1588,unrelated
saudi cleric say snowman anti islamic,1090,unrelated
priest die num minute say meet god woman,2515,agree
num teen girl get pregnant school trip read http www wnd com num num num teen girl get pregnant school trip fnumfilodnumyfpaspvnum num,2304,discuss
new io num bug delete icloud document,2360,unrelated
fence jumper run much main floor white house report,1426,unrelated
nigeria say ceasefire agree boko haram,402,unrelated
n korean leader miss annual ritual sister take duty,2330,unrelated
christian bale quits steve job movie,1950,unrelated
sugarhill gang rapper big bank hank die num,2118,unrelated
confusion surround capture isi leader wife,2337,discuss
advisory islamist rebel leader kill u strike somali government,2124,unrelated
boko haram deny nigeria cease fire claim,2191,discuss
robert plant rip num million contract,1978,disagree
christian bale play steve job,286,unrelated
islamic state claim execute american photojournalist james foley,1288,discuss
world oldest burger,1913,unrelated
jihadi john identify isi killer name mohammed emwazi west london,527,unrelated
isil beheads american photojournalist iraq,446,discuss
christian bale drop steve job biopic,1234,unrelated
picture heroic sergeant arm num walk parliament gun hand moment kill gunman michael zehaf bibeau,1885,unrelated
cnn play allege record michael brown shoot,968,unrelated
isi video claim show behead british hostage david haines,1645,unrelated
ottawa gunman identify michael zehaf bibeau,80,unrelated
attorney new audio reveals pause gunfire michael brown shot,456,unrelated
next apple watch could platinum,34,unrelated
journalist james wright foley reportedly behead isi,125,unrelated
star war force awakens release summer,1697,unrelated
dump woman spend week kfc get ex,2414,agree
net extra back dead catholic priest claim god female,1407,agree
ottawa shoot sergeant arm kevin vickers hail hero shoot rampage gunman,1666,agree
fake chinese news site dupe washington post atlantic bbc,1439,unrelated
islamic militant post video claim show behead u journalist,938,unrelated
james foley behead london rapper turn jihadist believe investigation murder journalist syria,760,unrelated
michael zehaf bibeau ottawa shooter suspect identify canadian official,1040,unrelated
report christian bale bail steve job movie,860,discuss
insurgent kill nigeria despite allege truce boko haram,1195,discuss
new io num bug delete icloud document,2127,unrelated
islamist website claim israeli canadian woman kidnap report,693,unrelated
video appear show behead journalist james foley go miss syria,1905,unrelated
christian bale pull upcoming steve job biopic,286,unrelated
isi executioner jihadi john name mohammed emwazi,1424,discuss
beheads briton david cawthorne haines threaten execute another briton alan henning,2477,unrelated
boy num secretly film sex teacher uploads whatsapp,1018,agree
pant fire duncan hunter make unconfirmed claim border patrol catch least num isi fighter,167,unrelated
james wright foley kidnap journalist apparently execute isi,2261,unrelated
lebanon hold leader daughter ex wife,258,unrelated
egalitarian lego instruction nums pretty cool real,22,unrelated
report say north korea kim insists jong un,2252,unrelated
gill rosenberg former idf soldier possibly capture isi fighting kurd,80,unrelated
former porn star behind youtube sensation dc toy collector make num million per year unbox disney toy,1372,unrelated
kim yo jong kim jong un sister take control north korea brother get treatment,1029,unrelated
italian catch huge wels catfish record,1183,unrelated
allege audio michael brown shoot sound good officer darren wilson,346,unrelated
police find mass graf least num body near mexico town num student disappear police clash,1538,unrelated
james foley miss american photojournalist reportedly execute isi syria,1120,unrelated
cold turkey,2116,unrelated
see homeless man spend hundred dollar keep tissue handy video,2134,unrelated
isi video america air drop weapon hand,1648,unrelated
carlisle head slapper attack sneeze woman,87,unrelated
small meteorite strike nicaragua capital city managua,1221,unrelated
guantanamo detainee free bowe bergdahl swap back terrorism,2531,discuss
expensive apple watch probably cost around num num,1481,unrelated
internet try make axl rise latest death hoax victim,1251,unrelated
lebanon confirm hold isi chief kin,1795,unrelated
islamic state militant fly num capture warplane syrian airport witness say,2218,unrelated
update internet report ebola outbreak purdon true,776,unrelated
dna test prove lebanon hold isi chief al baghdadi ex wife daughter catch fake passport,205,unrelated
kim jong un scottish dog meat restaurant probably fabricate shite,1222,agree
break news gunman shot dead wound soldier near canada parliament,2269,unrelated
boko haram deny nigeria cease fire claim,1372,unrelated
isi extremist claim behead british hostage david haines,1178,unrelated
nicaragua meteorite impact theory may meteor wrong,1467,unrelated
man pay parent mortgage christmas video,651,unrelated
iraqi health official ebola kill num isi fighter,2138,discuss
durex make pumpkin spice condom hoax debunk,2055,agree
kim yo jong take kim jong un role north korea ill health rumor fabricate,2118,unrelated
matt taibbi disappear omidyar first look medium,1293,unrelated
seth rogen woz,1058,unrelated
isi leader kill abu bakr al baghdadi reportedly kill u airstrike,2187,unrelated
cesar millan dead dog whisperer death hoax circulates,742,unrelated
seven girl fall pregnant five day school trip bosnia herzegovina,662,unrelated
isil beheads american photojournalist iraq,1660,unrelated
story high school trader make num million rumor spun control,651,unrelated
oscar winner christian bale play steve job upcoming biopic,1702,unrelated
feminist say abort baby boy,698,unrelated
cnn play allege audiotape michael brown shootingmilitarization police,132,unrelated
senator detainee swap bergdahl contact militant,381,unrelated
world oldest burger man claim keep mcdonald quarter pounder num year,1364,unrelated
update soldier gunman die ottawa rampage identify,1866,discuss
paradise open even dog pope tell boy,1549,unrelated
isi militant appear behead abducted american journalist james wright foley graphic video,1528,unrelated
kim jong un sister kim yo jong run north korea mysterious absence,271,unrelated
internet try make axl rise latest death hoax victim,769,unrelated
boko haram denies truce say kidnap girl marry,1125,unrelated
isi border crisis dhs chief say terrorist enter u mexico,186,unrelated
iraqi official dismisses unfounded report isi fighter ebola,2075,discuss
isi appear behead american photojournalist youtube video,2304,unrelated
microsoft new robot security guard,917,unrelated
homeless man receive meal hotel stay spending num donation food friend insist hoax despite new witness insist way could secretly film,359,unrelated
comfort eat chinese woman num spends entire week kfc dump boyfriend,5,unrelated
fence jumper make farther white house secret service let,1778,unrelated
cold turkey,2223,unrelated
news never guess homeless man spend num watch touch video,1820,unrelated
whiz kid stock picker actually make numm trading,1167,discuss
body mexico mass grave apparently miss student,1795,agree
boko haram ceasefire ignore violence flare borno state,1661,unrelated
boko haram denies ceasefire claim nigeria government,1083,unrelated
num year old quarter pounder look,1500,unrelated
kim jong un hospitalize two broken ankle reportedly wear heel overweight,1097,unrelated
vice ceo throw numk lavish vega dinner,1834,agree
pumpkin spice condom real thing,900,unrelated
net extra back dead catholic priest claim god female,34,unrelated
isi behead u journalist james foley post youtube,539,unrelated
brian williams demand apology social medium erroneous urination report video,2034,agree
nigeria hop return kidnap schoolgirl rise ceasefire report,206,unrelated
banksy arrest sigh,667,unrelated
isi video purport show behead british aid worker,1528,unrelated
report nypd stop arrest people minor marijuana offense,1718,unrelated
predator drone reportedly spot isi stronghold,2413,unrelated
american hostage kill rescue attempt yemen senior official,2411,unrelated
nasa question whether crater nicaragua cause meteorite,1249,discuss
report former baseball star jose canseco accidentally shoot home,1372,unrelated
newly discover mass grave link miss mexican student,61,unrelated
new audio reveals pause gunfire michael brown shot attorney,1921,unrelated
hairgate iphone num customer complain phone rip hair,161,unrelated
islamic state training pilot military jet monitor say,1839,unrelated
apple watch shower proof num num apps launch report,1985,unrelated
investigates medium report isi fighter contract ebola,1022,unrelated
jordan v isi report say king abdullah ii could personally lead airstrikes pilot death,1365,unrelated
ebola frisco num patient show virus symptom apparent thomas eric duncan contact,1883,unrelated
lynch mob chop man penis catch allegedly try rape teenager,1500,unrelated
cbi register criminal conspiracy case dera chief claim num male follower forcibly castrate,1255,discuss
isi reportedly behead u journalist james wright foley camera,1982,unrelated
holy theft batmobile steal batman v superman,702,unrelated
man discovers spider live skin bali vacation,181,unrelated
shot hear allege brown shoot record audio,1692,discuss
video message app say audio record michael brown shoot authentic,472,unrelated
james foley miss american photojournalist reportedly execute isi syria,1627,unrelated
message jim mom diane foley,1358,unrelated
texas city plumber truck end syrian war,1467,unrelated
eyewitness say viral video homeless man stag,1263,unrelated
comcast threaten cut customer use tor web browser criminal,503,unrelated
mexico check num miss student mass grave,61,unrelated
nicaragua meteorite impact theory may meteor wrong,2344,unrelated
rapper identify james foley executioner report,591,unrelated
weather reporter catch write name snow ready go camera update,83,disagree
continue violence put boko haram ceasefire jeopardy,903,unrelated
luke somers kill fail rescue attempt yemen,892,discuss
nigeria boko haram blame raid despite truce claim,2078,unrelated
wife child islamic state head abu bakr al baghdadi hold lebanon official say,1875,unrelated
fidel castro death watch rumor heat cuba denies,2221,discuss
islamic state accuse use chlorine gas iraqi soldier,969,discuss
allege audio michael brown shoot release,1605,discuss
report miss libyan plane raise num num terror fear,2309,unrelated
say report suspect ebola case iraq untrue,1615,discuss
meteor leave num foot crater near managua airport,757,unrelated
catholic priest claim god female clinically dead experience,251,unrelated
isi trick mum eat son num reluctant cannibal include forced eat body part,2219,discuss
boko haram claim german hostage denies ceasefire,1883,unrelated
apple may launch num inch macbook air retina display,731,unrelated
break pencil illustration banksy,428,unrelated
shot hear allege brown shoot record audio,1751,unrelated
confusion cuba castro mourn instead kenya fidel,892,unrelated
new audio allegedly capture moment michael brown shot,2389,unrelated
dna test prove lebanon hold isi chief al baghdadi ex wife daughter catch fake passport,1913,unrelated
num kidnap nigerian girl release deal reach boko haram,2272,disagree
north korea world secret state really plan new restaurant scotland,1439,unrelated
christian bale play steve job new movie,1854,unrelated
tom brokaw want brian williams nbc legend furious iraq war lie claim executive warn anchor stop exaggerate story past,277,unrelated
pure evil islamic state beheads american journalist james wright foley,1627,unrelated
u airstrike target al shabaab leader ahmed abdi godane somalia,1921,unrelated
pentagon denies kill isi chief airstrikes hit top extremist,731,discuss
willie nelson dead num guitarist kill internet death hoax,185,unrelated
american hostage kill rescue attempt yemen senior official,271,unrelated
obama outrage beheading vow stay course,2304,unrelated
islamic state claim behead american journalist,2386,discuss
michelle obama hair appear totally uncensored saudi tv,1498,unrelated
islamic state release video apparently show behead miss u journalist james foley,1679,discuss
thanks uncle sam weapon airdrop isi taunt america intercept weapon meant kurd,2448,unrelated
go become weightless january numth,2367,unrelated
nigeria announces truce boko haram fate schoolgirl unclear,298,unrelated
give homeless man num guy secretly film,760,agree
sorry fido pope francis say pet go heaven,121,unrelated
fox news twitter account respond tweet foxnewsfacts hashtag,1795,unrelated
tropical spider burrow bali tourist skin,1880,disagree
miss libyan aircraft spark fear num num style attack north africa,1384,unrelated
isi reportedly behead u journalist james wright foley camera,2067,discuss
china satirical site warn citizen name choice,1137,agree
nigeria say struck cease fire boko haram talk right guy,1506,unrelated
nigeria say boko haram cease fire may lead release kidnap girl,1372,unrelated
say report suspect ebola case iraq untrue,1938,unrelated
british hostage david haines behead islamic state terrorist,2440,agree
isil allegedly kill u journalist video,26,unrelated
argentine woman fall victim cruel online hoax adult video claim show teacher sex pupil seem,1357,unrelated
jihadi john isi fighter name mohammed emwazi west london,1815,unrelated
batman set play steve job upcoming biopic,2290,unrelated
two gop congressman say suspected terrorist catch cross u mexico border,385,unrelated
terrorism fear rise amid report steal jetliner,723,unrelated
north korean dictator kim jong un replace sister,1950,unrelated
sadly pumpkin spice condom thing,181,unrelated
nigeria say ceasefire agree boko haram,1019,unrelated
boko haram denies agree ceasefire,1603,unrelated
tropical spider burrow man skin appendix scar live three day,1860,agree
want man respond police facebook post would turn,1627,unrelated
num islamist militant kill u attack somalia,2364,discuss
teacher sex tape expose fake internet detective trace origin pornographic clip,1896,unrelated
hundred palestinian flee flood gaza israel open dam,244,unrelated
apple may launch num inch macbook air retina display,2188,unrelated
north korean leader kim jong un mystery illness actually two broken ankle newspaper say,798,discuss
report boko haram may release schoolgirl part deal,1003,unrelated
feminist lana abort baby boy surprise backlash,614,unrelated
video message app say audio record michael brown shoot authentic,2317,discuss
macaulay culkin dead facebook twitter death hoax go viral,1968,unrelated
boko haram claim german hostage denies ceasefire,2096,unrelated
heartwarming video show son reveal pay parent mortgage christmas gift,651,unrelated
nbc weatherman catch urinating wood live air,1934,unrelated
jihadi john identify british man west london,997,discuss
american bombing sign death certificate miss u journalist james wright foley go unflinching death isi behead horrific video warn obama,1336,agree
report audio reveals pause gunshot michael brown shot,1893,unrelated
kim jong un fat eat cheese broken ankle,2441,unrelated
james foley behead london rapper turn jihadist believe investigation murder journalist syria,2295,unrelated
zack snyder responds fake steal batmobile report,2090,unrelated
homeless man receive num shock everyone spends,2434,unrelated
lady fb num intersex fuck michael phelps first date,2367,unrelated
ebola infect isi militant mosul,1506,discuss
meteorite cause mysterious boom nicaragua,1744,unrelated
isi beheads photojournalist james wright foley massage u end intervention iraq,578,discuss
star war vii new summer release date,1897,unrelated
time capsule paul revere samuel adam discover boston,1261,unrelated
beheads briton david cawthorne haines threaten execute another briton alan henning,15,unrelated
canadian israeli woman may capture syria report,573,unrelated
isi syria news video show u airdropped weapon grenade capture islamic state,2404,discuss
medium fool story claim num num girl school trip come home pregnant,1256,unrelated
expert cast doubt bunbury man dylan thomas burrow stomach spider story,1638,disagree
new audio reveals pause gunfire michael brown shot attorney,195,unrelated
soldier shot parliament lock gunfire erupts war memorial,2252,unrelated
senior western intelligence official confirms london rapper abdel majed abdel bary suspect foley kill,2470,unrelated
iraqi kurdish medium report isi fighter contract ebola,1921,unrelated
seven girl young num become pregnant school trip,397,agree
video show isil behead photojournalist james foley,880,discuss
audio gunfire michael brown case authenticate app company,958,unrelated
guantanamo detainee swap prisoner deal bowe bergdahl try rejoin al qaeda,819,unrelated
somalia shebab chief ahmed abdi godane likely dead u strike source,1423,discuss
isi beheads american journalist james foley video message u,2526,unrelated
predator drone reportedly spot circle isi capital city,724,unrelated
message jim mom diane foley,2096,discuss
mexican cartel leader kill self body grave miss student,251,unrelated
kim jong un break ankle hospitalize report claim,2153,discuss
hundred mourn death fidel castro rumour sweep twitter confuse recently depart fidel castro odinga nairobi,892,unrelated
pentagon airstrike kill terror leader somalia,1543,unrelated
christian bale steve job,1157,discuss
unconfirmed report say uk hostage hold isi find innocent,382,unrelated
isi ebola probably medium report anyway,1426,unrelated
british man pay num save constipate goldfish life,2280,unrelated
cannibal mother try eat newborn baby give birth,272,discuss
video purport show behead u journalist militant,880,discuss
spider burrow australian man appendix scar video,1883,agree
allege audio michael brown shoot surface,2287,discuss
large space object slam nicaragua capital asteroid pass earth,1795,unrelated
u drone hunt isi leader syria,1148,unrelated
despite ebola case kansa city rumor go viral,99,unrelated
fighter seize weapon cache meant kurd,1239,unrelated
photo slain leader report doctored,1048,unrelated
apple watch spec tip say feature nummb ram numgb storage,1438,unrelated
meteor leave num foot crater near managua airport,2264,discuss
nun give birth intend keep baby,2129,unrelated
isi claim u airdrop weapon,1361,discuss
militant kill num iraqi soldier chlorine gas,1605,unrelated
boy nearly died superpower like marvel magneto,1372,unrelated
apple num inch macbook air detail emerge device could thinner lighter current model,1049,unrelated
audio recording michael brown shoot reportedly surface,450,unrelated
sex attacker penis cut cleaver india,962,unrelated
miss libyan jetliner raise fear suicide airliner attack num num,1660,unrelated
james wright foley kidnap journalist apparently execute isi,2495,discuss
kim yo jong take kim jong un role north korea ill health rumor fabricate,1268,unrelated
kim jong un set open new restaurant scotland,1312,unrelated
one taliban five bowe bergdahl swap allegedly return militancy,1251,unrelated
man skip work num year finally fire,829,agree
man know jihadi john identify mohammed emwazi,1661,unrelated
nigerian doubtful girl release boko haram truce breach,1139,discuss
comcast get customer fire complain poor service,2149,unrelated
allege audio michael brown shoot sound good officer darren wilson,321,unrelated
allege ottawa gunman know far michael zehaf bibeau,804,unrelated
man break tear lose recording deceased wife resurfaces,1921,unrelated
james foley killer jihadi john believe former london rapper abdel majed abdel bary,1079,discuss
conde nast rat problem one world trade centre red carpet rodent droppings,1020,unrelated
detroit police issue statement batmobile safe,621,unrelated
meteorite strike nicaragua puzzle expert,1622,discuss
north korean leader kim jong un ankle surgery report say,2153,discuss
michael phelps girlfriend reveals bear man never tell swimmer,2528,unrelated
pentagon num weapon bundle seize militant,2307,agree
hairgate iphone num user encounter latest apple problem bendgate,2476,discuss
north korea dictator kim jong un undergoes surgery break ankle military tour,2087,unrelated
james foley executioner say identified british rapper read james foley executioner say identified british rapper,1263,unrelated
apple target march apple watch launch retail training begin next month,1180,unrelated
back incredible new batmobile take spin around detroit rumor steal,2090,unrelated
macaulay culkin die despite everyone say facebook,1547,unrelated
bmo forecast numm apple watch sale num half selling holiday season,1323,unrelated
audio recording michael brown gun make time kill app company appear confirm tape eleven bullet fire include final volley kill shot,2434,discuss
macaulay culkin latest victim celebrity death hoax num star know exactly feel,130,unrelated
new io num bug delete icloud document,1873,unrelated
batman v superman batmobile steal detroit,377,unrelated
nbc meteorologist mike seidel pee snow camera testy brian williams explains,1333,discuss
pumpkin spice condom fall hoax,2240,unrelated
audio record allegedly capture moment michael brown shot,2404,unrelated
boko haram agree ceasefire release school girl,2139,disagree
newly find document hold eyewitness account jesus perform miracle,1775,disagree
isi claim behead u journalist,26,unrelated
dog abandon railway station suitcase set happy end offer pour,2252,unrelated
white house fence jumper make building report,1916,unrelated
say report suspect ebola case iraq untrue,2078,unrelated
marine get shot head walk away,2389,unrelated
durex rumor pumpkin spice condom comment,401,unrelated
rapper big bank hank sugarhill gang die num,752,unrelated
u official video show american execution,2287,unrelated
christian bale play steve job new movie,830,unrelated
shock photo mom try sell son pay daughter cancer treatment,694,unrelated
guantanamo detainee free bowe bergdahl swap back terrorism,1256,unrelated
break isi beheads american journalist james wright foley,533,unrelated
obama outrage beheading vow stay course,1351,unrelated
vice medium chief say pay num num dinner num,1789,unrelated
isi border crisis dhs chief say terrorist enter u mexico,2296,unrelated
islamic militant post video claim show behead u journalist,533,unrelated
u probe claim isi fighter seize airdropped weapon mean kurd,14,discuss
sadly pumpkin spice condom thing,724,agree
sugarhill gang rapper big bank hank dead num,1996,unrelated
original apple watch health feature drop due consistency issue,116,unrelated
vogue rat chew couture,713,discuss
world oldest burger man claim keep mcdonald quarter pounder num year,414,unrelated
